,Player,Draft Pick,Salary,Pos,Age,Team,Games Played
344,Jimmy Butler,30,19301070,SG,28,MIN,56
345,Jerryd Bayless,11,9000000,SG,29,PHI,39
346,Jerian Grant,19,1713840,PG,25,CHI,70
348,Jeremy Lamb,12,7000000,SG,25,CHO,77
349,Jeremy Evans,55,104059,SF,30,ATL,1
350,Jerami Grant,39,1524305,PF,23,OKC,78
351,Jeff Withey,39,1577320,C,27,DAL,9
352,Jeff Teague,19,19000000,PG,29,MIN,66
353,Jeff Green,5,2116955,PF,31,CLE,74
354,Jayson Tatum,3,5645400,SF,19,BOS,78
356,Jaylen Brown,3,4956480,SF,21,BOS,67
357,Jawun Evans,39,815615,PG,21,LAC,48
358,JaVale McGee,18,2116955,C,30,GSW,62
359,Jason Terry,10,2328652,SG,40,MIL,47
360,Jason Smith,20,5225000,C,31,WAS,31
361,Jarrett Jack,22,2328652,PG,34,NYK,58
362,Jarrett Allen,22,1713720,C,19,BRK,68
363,Jarell Martin,25,1471382,PF,23,MEM,73
367,Jared Dudley,22,10000000,PF,32,PHO,45
373,James Johnson,16,13954000,PF,30,MIA,70
374,James Harden,3,28299399,SG,28,HOU,69
375,James Ennis,50,3028410,SF,27,TOT,68
379,Jameer Nelson,20,4736050,PG,35,DET,7
383,Jamal Murray,7,3355320,PG,20,DEN,77
384,Jamal Crawford,8,10942762,SG,37,MIN,76
388,Jakob Poeltl,9,2825640,C,22,TOR,78
389,Jake Layman,47,1312611,SF,23,POR,33
391,Jahlil Okafor,3,4995120,C,22,PHI,2
394,Jae Crowder,34,6796117,SF,27,TOT,76
400,Jabari Parker,2,6782392,PF,22,MIL,27
402,J.R. Smith,18,13760000,SG,32,CLE,76
403,J.J. Redick,11,23000000,SG,33,PHI,67
405,Ivica Zubac,32,1312611,C,20,LAL,39
406,Ivan Rabb,35,950000,PF,20,MEM,32
408,Isaiah Whitehead,42,1312611,PG,22,BRK,16
409,Isaiah Thomas,60,6261395,PG,28,LAL,17
414,Isaiah Canaan,34,1069308,PG,26,PHO,19
417,Iman Shumpert,17,10337079,SG,27,CLE,14
418,Ike Anigbogu,47,950000,C,19,IND,10
419,Ian Mahinmi,28,16661641,C,31,WAS,74
421,Henry Ellenson,18,1780800,PF,21,DET,34
422,Hassan Whiteside,33,23775506,C,28,MIA,51
423,Harrison Barnes,7,23112004,PF,25,DAL,75
424,Guerschon Yabusele,16,2247480,PF,22,BOS,31
425,Greg Monroe,7,17884176,C,27,TOT,47
429,Gorgui Dieng,21,14112360,C,28,MIN,75
430,Gordon Hayward,9,29727900,SF,27,BOS,1
431,Goran Dragic,45,17000450,PG,31,MIA,73
432,Glenn Robinson,40,1524305,SF,24,IND,19
433,Giannis Antetokounmpo,15,22471910,PF,23,MIL,73
435,Gerald Green,18,947248,SG,32,HOU,37
436,Georgios Papagiannis,13,2301360,C,20,SAC,16
437,Georges Niang,50,100000,PF,24,UTA,7
438,George Hill,26,20000000,PG,31,TOT,65
444,Gary Harris,19,2550055,SG,23,DEN,65
446,Furkan Korkmaz,26,1465920,SG,20,PHI,12
448,Frank Ntilikina,8,3501120,PG,19,NYK,74
449,Frank Mason,34,1184385,PG,23,SAC,51
450,Frank Kaminsky,9,2847600,PF,24,CHO,76
451,Evan Turner,2,17131148,SF,29,POR,75
452,Evan Fournier,20,17000000,SF,25,ORL,57
453,E'Twaun Moore,55,8445024,SG,28,NOP,78
454,Ersan Ilyasova,36,6000000,PF,30,TOT,65
459,Eric Gordon,7,12943020,SG,29,HOU,68
460,Eric Bledsoe,18,14500000,PG,28,MIL,67
463,Enes Kanter,3,20566802,C,25,NYK,71
464,Emmanuel Mudiay,7,3381480,PG,21,NYK,21
467,Emeka Okafor,2,239204,C,35,NOP,24
468,Elfrid Payton,10,3332340,PG,23,TOT,63
471,Ekpe Udoh,6,3200000,C,30,UTA,59
472,Ed Davis,13,6352531,C,28,POR,76
473,Dwyane Wade,5,15550000,SG,36,CLE,46
476,Dwight Powell,45,9003125,C,26,DAL,76
477,Dwight Howard,1,23500000,C,32,CHO,78
479,Dwayne Bacon,40,815615,SG,22,CHO,53
480,Draymond Green,35,16400000,PF,27,GSW,66
481,Dragan Bender,4,4468800,PF,20,PHO,79
482,Doug McDermott,11,3294994,SF,26,DAL,24
486,Donovan Mitchell,13,2621280,SG,21,UTA,75
487,Domantas Sabonis,11,2550000,C,21,IND,70
488,Dirk Nowitzki,9,5000000,C,39,DAL,77
489,Dion Waiters,4,11000000,SG,26,MIA,30
490,Dillon Brooks,45,815615,SF,22,MEM,78
491,Deyonta Davis,31,1312611,C,21,MEM,58
493,Devin Harris,5,4402546,PG,34,DAL,44
496,Devin Booker,13,2319360,SG,21,PHO,54
497,Derrick Williams,2,104059,PF,26,LAL,2
498,Derrick White,29,1404600,PG,23,SAS,17
500,Derrick Rose,1,2116955,PG,29,MIN,5
506,Derrick Favors,3,12000000,C,26,UTA,73
507,Denzel Valentine,14,2186400,SG,24,CHI,77
508,Dennis Smith,9,3218280,PG,20,DAL,67
509,Dennis Schroder,17,15500000,PG,24,ATL,67
510,Demetrius Jackson,45,92858,PG,23,PHI,3
513,DeMarre Carroll,27,14800000,SF,31,BRK,73
514,DeMarcus Cousins,5,18063850,C,27,NOP,48
515,DeMar DeRozan,9,27739975,SG,28,TOR,77
516,Delon Wright,20,1645200,PG,25,TOR,65
517,Dejounte Murray,29,1312611,PG,21,SAS,78
518,DeAndre Liggins,53,1577230,SG,29,TOT,55
521,DeAndre Jordan,35,22642350,C,29,LAC,73
522,DeAndre' Bembry,21,1567200,SF,23,ATL,23
523,De'Aaron Fox,5,4609200,PG,20,SAC,70
524,Davon Reed,32,815615,SG,22,PHO,18
525,Davis Bertans,42,1312611,PF,25,SAS,74
526,David West,18,2328652,C,37,GSW,69
530,Darren Collison,21,10000000,PG,30,IND,65
531,Darrell Arthur,27,7464912,PF,29,DEN,19
532,Darius Miller,46,2100000,SF,27,NOP,78
533,Dario Saric,12,2422560,PF,23,PHI,74
535,Dante Exum,5,4992385,PG,22,UTA,10
536,Dante Cunningham,33,2300000,SF,30,TOT,70
539,Danny Green,46,10000000,SG,30,SAS,67
540,Danilo Gallinari,6,20559599,SF,29,LAC,21
543,D'Angelo Russell,2,5562360,PG,21,BRK,44
544,Damyean Dotson,44,1100000,SG,23,NYK,40
547,Damian Lillard,6,26153057,PG,27,POR,70
548,Damian Jones,30,1312611,C,22,GSW,11
549,Dakari Johnson,48,815615,C,22,OKC,29
550,D.J. Wilson,17,2135040,PF,21,MIL,21
551,D.J. Augustin,9,7250000,PG,30,ORL,71
553,Courtney Lee,22,11747890,SG,32,NYK,73
554,Cory Joseph,29,7630000,PG,26,IND,78
555,Corey Brewer,7,7579366,SF,31,OKC,15
558,Cole Aldrich,11,7300000,C,29,MIN,19
559,Cody Zeller,4,12584270,C,25,CHO,33
560,Clint Capela,25,2334520,C,23,HOU,71
561,Chris Paul,4,24599495,PG,32,HOU,55
562,Chris McCullough,29,1471382,PF,22,WAS,19
564,Cheick Diallo,33,1312611,PF,21,NOP,48
566,Channing Frye,8,7420912,C,34,TOT,50
569,Chandler Parsons,38,23112004,SF,29,MEM,36
571,Carmelo Anthony,3,26243760,PF,33,OKC,75
572,Caris LeVert,20,1632480,SF,23,BRK,68
573,Cameron Payne,14,2203440,PG,23,CHI,21
574,Caleb Swanigan,26,1465920,PF,20,POR,24
576,C.J. Miles,34,7936509,SF,30,TOR,66
577,C.J. McCollum,10,23962573,SG,26,POR,77
578,Buddy Hield,6,3675480,SG,24,SAC,77
580,Bruno Caboclo,20,2451225,SF,22,TOR,2
583,Brook Lopez,10,22642350,C,29,LAL,70
584,Brice Johnson,25,1331160,PF,23,LAC,9
591,Brandon Jennings,10,238020,PG,28,MIL,11
592,Brandon Ingram,2,5519400,SF,20,LAL,59
593,Brandan Wright,8,5179760,PF,30,MEM,27
596,Bradley Beal,3,23775506,SG,24,WAS,78
597,Bojan Bogdanovic,31,10500000,SF,28,IND,77
598,Bogdan Bogdanovic,27,9470614,SG,25,SAC,75
599,Bobby Portis,22,1516320,PF,22,CHI,69
604,Blake Griffin,1,29512900,PF,28,TOT,58
607,Bismack Biyombo,7,17000000,C,25,ORL,78
608,Ben Simmons,1,6168840,PG,21,PHI,77
610,Ben McLemore,7,5200000,SG,24,MEM,52
611,Bam Adebayo,14,2490360,C,20,MIA,66
612,Avery Bradley,19,8808989,SG,27,LAC,6
615,Austin Rivers,10,11825000,SG,25,LAC,58
616,Arron Afflalo,27,2328652,SG,32,ORL,51
623,Anthony Davis,1,23775506,PF,24,NOP,71
625,Ante Zizic,23,1645200,C,21,CLE,30
626,Andrew Wiggins,1,7574322,SF,22,MIN,78
628,Andrew Harrison,44,1312611,PG,23,MEM,56
